Universe,Decision 1,Value 1,Decision 2,Value 2,Decision 3,Value 3,Decision 4,Value 4,Decision 5,Value 5,Decision 6,Value 6,Decision 7,Value 7
Universe_1,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages,year_interaction,,model,log_linear
Universe_2,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages,year_interaction,,model,neg_binomial
Universe_3,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages,year_interaction, + post1979:damages,model,log_linear
Universe_4,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages,year_interaction, + post1979:damages,model,neg_binomial
Universe_5,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages,year_interaction, + year:damages,model,log_linear
Universe_6,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages,year_interaction, + year:damages,model,neg_binomial
Universe_7,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction,,model,log_linear
Universe_8,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction,,model,neg_binomial
Universe_9,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction, + post1979:damages,model,log_linear
Universe_10,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction, + post1979:damages,model,neg_binomial
Universe_11,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction, + year:damages,model,log_linear
Universe_12,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zpressure,year_interaction, + year:damages,model,neg_binomial
Universe_13,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction,,model,log_linear
Universe_14,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction,,model,neg_binomial
Universe_15,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction, + post1979:damages,model,log_linear
Universe_16,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction, + post1979:damages,model,neg_binomial
Universe_17,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction, + year:damages,model,log_linear
Universe_18,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zwind,year_interaction, + year:damages,model,neg_binomial
Universe_19,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zcat,year_interaction,,model,log_linear
Universe_20,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zcat,year_interaction,,model,neg_binomial
Universe_21,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zcat,year_interaction, + post1979:damages,model,log_linear
Universe_22,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zcat,year_interaction, + post1979:damages,model,neg_binomial
Universe_23,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zcat,year_interaction, + year:damages,model,log_linear
Universe_24,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * zcat,year_interaction, + year:damages,model,neg_binomial
Universe_25,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * z3,year_interaction,,model,log_linear
Universe_26,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * z3,year_interaction,,model,neg_binomial
Universe_27,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * z3,year_interaction, + post1979:damages,model,log_linear
Universe_28,death_outliers,2,damage_outliers,3,femininity_rating,fem_likert,damage_functional,ln,effect_type,femininity * damages + femininity * z3,year_interaction, + post1979:damages,model,neg_binomial
